benchmark,time,ext
gcc,2.665201,re-randomized
gcc,2.668823,re-randomized
gcc,2.708468,re-randomized
gcc,2.691806,re-randomized
gcc,2.670829,re-randomized
gcc,2.694982,re-randomized
gobmk,234.081355,re-randomized
gobmk,233.664017,re-randomized
gobmk,234.0082,re-randomized
gobmk,233.939061,re-randomized
gobmk,233.707286,re-randomized
gobmk,233.554518,re-randomized
gobmk,234.392759,re-randomized
gobmk,233.466752,re-randomized
gobmk,233.653138,re-randomized
gobmk,233.2553,re-randomized
gobmk,233.847895,re-randomized
gobmk,233.239825,re-randomized
gobmk,233.506525,re-randomized
gobmk,234.091891,re-randomized
gobmk,233.925864,re-randomized
gobmk,233.570973,re-randomized
gobmk,233.806915,re-randomized
gobmk,233.391058,re-randomized
gobmk,233.033077,re-randomized
gobmk,233.912737,re-randomized
gobmk,233.65939,re-randomized
gobmk,233.30778,re-randomized
gobmk,233.135432,re-randomized
gobmk,233.674621,re-randomized
gobmk,233.459044,re-randomized
gobmk,234.072698,re-randomized
gobmk,233.612033,re-randomized
gobmk,233.884602,re-randomized
gobmk,233.761624,re-randomized
gobmk,233.319977,re-randomized
gromacs,184.439529,re-randomized
gromacs,184.090706,re-randomized
gromacs,184.494137,re-randomized
gromacs,184.30096,re-randomized
gromacs,184.378476,re-randomized
gromacs,184.847101,re-randomized
gromacs,184.204001,re-randomized
gromacs,184.496212,re-randomized
gromacs,184.436341,re-randomized
gromacs,184.096136,re-randomized
gromacs,184.49538,re-randomized
gromacs,183.92565,re-randomized
gromacs,184.20286,re-randomized
gromacs,184.258564,re-randomized
gromacs,183.939151,re-randomized
gromacs,183.83626,re-randomized
gromacs,184.056004,re-randomized
gromacs,184.316025,re-randomized
gromacs,184.111291,re-randomized
gromacs,184.107956,re-randomized
gromacs,184.78105,re-randomized
gromacs,184.058084,re-randomized
gromacs,184.192962,re-randomized
gromacs,184.178891,re-randomized
gromacs,184.25722,re-randomized
gromacs,183.946943,re-randomized
gromacs,184.269135,re-randomized
gromacs,184.050996,re-randomized
gromacs,184.028239,re-randomized
gromacs,184.238261,re-randomized
h264ref,182.567857,re-randomized
h264ref,182.526524,re-randomized
h264ref,182.145342,re-randomized
h264ref,182.23433,re-randomized
h264ref,182.514408,re-randomized
h264ref,182.264687,re-randomized
h264ref,182.814937,re-randomized
h264ref,182.936604,re-randomized
h264ref,182.785507,re-randomized
h264ref,182.342827,re-randomized
h264ref,182.026037,re-randomized
h264ref,182.103473,re-randomized
h264ref,181.796181,re-randomized
h264ref,181.95143,re-randomized
h264ref,181.999472,re-randomized
h264ref,182.057699,re-randomized
h264ref,181.951196,re-randomized
h264ref,182.96186,re-randomized
h264ref,181.930303,re-randomized
h264ref,182.283977,re-randomized
h264ref,182.917452,re-randomized
h264ref,184.303231,re-randomized
h264ref,182.741487,re-randomized
h264ref,182.284692,re-randomized
h264ref,182.442854,re-randomized
h264ref,182.130339,re-randomized
h264ref,182.362763,re-randomized
h264ref,182.321353,re-randomized
h264ref,182.352277,re-randomized
hmmer,140.937956,re-randomized
hmmer,140.994393,re-randomized
hmmer,141.051969,re-randomized
hmmer,141.630281,re-randomized
hmmer,141.258002,re-randomized
hmmer,141.065777,re-randomized
hmmer,141.189937,re-randomized
hmmer,141.053337,re-randomized
hmmer,141.079131,re-randomized
hmmer,140.866959,re-randomized
hmmer,141.034969,re-randomized
hmmer,141.018553,re-randomized
hmmer,141.170203,re-randomized
hmmer,141.106737,re-randomized
hmmer,140.827631,re-randomized
hmmer,140.929899,re-randomized
hmmer,141.728985,re-randomized
hmmer,140.820897,re-randomized
hmmer,141.045469,re-randomized
hmmer,140.731737,re-randomized
hmmer,140.947001,re-randomized
hmmer,141.201655,re-randomized
hmmer,141.808633,re-randomized
hmmer,141.390096,re-randomized
hmmer,140.989005,re-randomized
hmmer,140.998724,re-randomized
hmmer,140.774957,re-randomized
hmmer,141.30087,re-randomized
hmmer,141.116324,re-randomized
hmmer,141.078531,re-randomized
lbm,48.503262,re-randomized
lbm,48.540436,re-randomized
lbm,48.528666,re-randomized
lbm,48.522689,re-randomized
lbm,48.511883,re-randomized
lbm,48.461893,re-randomized
lbm,48.467008,re-randomized
lbm,48.467595,re-randomized
lbm,48.468347,re-randomized
lbm,48.578841,re-randomized
lbm,48.463616,re-randomized
lbm,48.564233,re-randomized
lbm,48.504597,re-randomized
lbm,48.51892,re-randomized
lbm,48.589427,re-randomized
lbm,48.450912,re-randomized
lbm,48.48975,re-randomized
lbm,48.576555,re-randomized
lbm,48.423132,re-randomized
lbm,48.49715,re-randomized
lbm,48.537303,re-randomized
lbm,48.462084,re-randomized
lbm,48.567323,re-randomized
lbm,48.502284,re-randomized
lbm,48.49298,re-randomized
lbm,48.423929,re-randomized
lbm,48.597478,re-randomized
lbm,48.519614,re-randomized
libquantum,5.155597,re-randomized
libquantum,5.166534,re-randomized
libquantum,5.167778,re-randomized
libquantum,5.158594,re-randomized
libquantum,5.177757,re-randomized
libquantum,5.171469,re-randomized
libquantum,5.159808,re-randomized
libquantum,5.157528,re-randomized
libquantum,5.177016,re-randomized
libquantum,5.170727,re-randomized
libquantum,5.176886,re-randomized
libquantum,5.182913,re-randomized
libquantum,5.16074,re-randomized
libquantum,5.156212,re-randomized
libquantum,5.15771,re-randomized
libquantum,5.172341,re-randomized
libquantum,5.173677,re-randomized
libquantum,5.158028,re-randomized
libquantum,5.170843,re-randomized
libquantum,5.202355,re-randomized
libquantum,5.182844,re-randomized
libquantum,5.189734,re-randomized
libquantum,5.165655,re-randomized
libquantum,5.182368,re-randomized
libquantum,5.160793,re-randomized
libquantum,5.164507,re-randomized
libquantum,5.190099,re-randomized
libquantum,5.154641,re-randomized
libquantum,5.178637,re-randomized
libquantum,5.199623,re-randomized
mcf,32.40164,re-randomized
mcf,32.836881,re-randomized
mcf,32.812012,re-randomized
mcf,32.508098,re-randomized
mcf,32.873702,re-randomized
mcf,32.417754,re-randomized
mcf,32.472186,re-randomized
mcf,32.58309,re-randomized
mcf,32.737978,re-randomized
mcf,32.564173,re-randomized
mcf,32.262411,re-randomized
mcf,33.201417,re-randomized
mcf,32.718051,re-randomized
mcf,33.02822,re-randomized
mcf,32.258749,re-randomized
mcf,32.867785,re-randomized
mcf,32.371479,re-randomized
mcf,32.558697,re-randomized
mcf,32.459043,re-randomized
mcf,32.973164,re-randomized
mcf,32.749825,re-randomized
mcf,32.161095,re-randomized
mcf,33.272313,re-randomized
mcf,32.676203,re-randomized
mcf,32.965233,re-randomized
mcf,32.377428,re-randomized
mcf,32.578387,re-randomized
mcf,33.169692,re-randomized
mcf,32.937681,re-randomized
mcf,32.391372,re-randomized
milc,25.442702,re-randomized
milc,25.456194,re-randomized
milc,25.405443,re-randomized
milc,25.374395,re-randomized
milc,25.408214,re-randomized
milc,25.480743,re-randomized
milc,25.442911,re-randomized
milc,25.361097,re-randomized
milc,25.420398,re-randomized
milc,25.495699,re-randomized
milc,25.412406,re-randomized
milc,25.359405,re-randomized
milc,25.422373,re-randomized
milc,25.394204,re-randomized
milc,25.344689,re-randomized
milc,25.391696,re-randomized
milc,25.369168,re-randomized
milc,25.431551,re-randomized
milc,25.391162,re-randomized
milc,25.350632,re-randomized
milc,25.429273,re-randomized
milc,25.42763,re-randomized
milc,25.507333,re-randomized
milc,25.373665,re-randomized
milc,25.386182,re-randomized
milc,25.341369,re-randomized
milc,25.411947,re-randomized
milc,25.402379,re-randomized
milc,25.34147,re-randomized
milc,25.405782,re-randomized
namd,25.104939,re-randomized
namd,25.078252,re-randomized
namd,25.111657,re-randomized
namd,25.053411,re-randomized
namd,25.087018,re-randomized
namd,25.085499,re-randomized
namd,25.03721,re-randomized
namd,25.09882,re-randomized
namd,25.080191,re-randomized
namd,25.111367,re-randomized
namd,25.079853,re-randomized
namd,25.107836,re-randomized
namd,25.101306,re-randomized
namd,25.105422,re-randomized
